Record,Weight,Date,Wrestler1,Team1,Wrestler2,Team2,Result,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
2507,174,3/3/2018,Bastian,Utah Valley,VonEgidy,West Virginia,1.25,420,1,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0,3,2,0,1,0,0,1,1,0,0,0,1,0,1,0,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0
2508,174,3/3/2018,VonEgidy,West Virginia,Bastian,Utah Valley,0.75,420,1,0,0,0,1,0,1,0,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0,3,2,0,1,0,0,1
2509,184,3/3/2018,McRill,West Virginia,Pestano,Iowa State,0.9,420,3,0,2,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0
2510,184,3/3/2018,Pestano,Iowa State,McRill,West Virginia,1.1,420,1,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1
2511,184,3/3/2018,Jantzer,Utah Valley,Waddell,Oklahoma,0.5,140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2512,184,3/3/2018,Waddell,Oklahoma,Jantzer,Utah Valley,1.75,140,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,184,3/3/2018,Polson,Wyoming,Brandt,Fresno State,1.75,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514,184,3/3/2018,Brandt,Fresno State,Polson,Wyoming,0.5,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0
2515,184,3/3/2018,Popp,North Dakota State,Ikehara,Air Force,0.5,229,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2516,184,3/3/2018,Ikehara,Air Force,Popp,North Dakota State,1.75,229,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2517,184,3/3/2018,Waddell,Oklahoma,Pestano,Iowa State,0.5,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2518,184,3/3/2018,Pestano,Iowa State,Waddell,Oklahoma,1.75,229,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2519,184,3/3/2018,Polson,Wyoming,Ikehara,Air Force,1.1,420,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2520,184,3/3/2018,Ikehara,Air Force,Polson,Wyoming,0.9,420,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,1
2521,184,3/3/2018,Moore,Oklahoma State,Pestano,Iowa State,1.1,420,1,0,0,0,0,0,3,1,6,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2522,184,3/3/2018,Pestano,Iowa State,Moore,Oklahoma State,0.9,420,2,0,4,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,6,0,1,0,0,1,0,0,0,0,0,0,2,0,0
2523,184,3/3/2018,Polson,Wyoming,Mueller,South Dakota State,0.5,359,3,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,1,0,0,0
2524,184,3/3/2018,Mueller,South Dakota State,Polson,Wyoming,1.75,359,0,0,2,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0
